stream tb=1/48000 rate=48000 channels=2 initial=0 trailing=0 preroll=0 delay=0
frame pts=78848 dts=78848 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=79872 dts=79872 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=80896 dts=80896 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=81920 dts=81920 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=82944 dts=82944 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=83968 dts=83968 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=84992 dts=84992 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=86016 dts=86016 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=87040 dts=87040 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=88064 dts=88064 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=89088 dts=89088 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=90112 dts=90112 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=91136 dts=91136 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=92160 dts=92160 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=93184 dts=93184 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=94208 dts=94208 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=95232 dts=95232 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=96256 dts=96256 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=97280 dts=97280 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=98304 dts=98304 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=99328 dts=99328 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=100352 dts=100352 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=101376 dts=101376 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=102400 dts=102400 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=103424 dts=103424 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=104448 dts=104448 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=105472 dts=105472 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=106496 dts=106496 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=107520 dts=107520 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=108544 dts=108544 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=109568 dts=109568 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=110592 dts=110592 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=111616 dts=111616 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=112640 dts=112640 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=113664 dts=113664 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=114688 dts=114688 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=115712 dts=115712 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=116736 dts=116736 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=117760 dts=117760 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=118784 dts=118784 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=119808 dts=119808 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=120832 dts=120832 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=121856 dts=121856 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=122880 dts=122880 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=123904 dts=123904 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=124928 dts=124928 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=125952 dts=125952 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=126976 dts=126976 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=128000 dts=128000 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=129024 dts=129024 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=130048 dts=130048 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=131072 dts=131072 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=132096 dts=132096 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=133120 dts=133120 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=134144 dts=134144 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=135168 dts=135168 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=136192 dts=136192 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=137216 dts=137216 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=138240 dts=138240 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=139264 dts=139264 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=140288 dts=140288 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=141312 dts=141312 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=142336 dts=142336 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=143360 dts=143360 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=144384 dts=144384 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=145408 dts=145408 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=146432 dts=146432 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=147456 dts=147456 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=148480 dts=148480 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=149504 dts=149504 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=150528 dts=150528 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=151552 dts=151552 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=152576 dts=152576 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=153600 dts=153600 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=154624 dts=154624 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=155648 dts=155648 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=156672 dts=156672 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=157696 dts=157696 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=158720 dts=158720 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=159744 dts=159744 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=160768 dts=160768 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=161792 dts=161792 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=162816 dts=162816 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=163840 dts=163840 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=164864 dts=164864 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=165888 dts=165888 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=166912 dts=166912 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=167936 dts=167936 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=168960 dts=168960 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=169984 dts=169984 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=171008 dts=171008 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=172032 dts=172032 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=173056 dts=173056 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=174080 dts=174080 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=175104 dts=175104 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=176128 dts=176128 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=177152 dts=177152 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=178176 dts=178176 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=179200 dts=179200 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=180224 dts=180224 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=181248 dts=181248 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=182272 dts=182272 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=183296 dts=183296 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=184320 dts=184320 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=185344 dts=185344 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=186368 dts=186368 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=187392 dts=187392 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=188416 dts=188416 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=189440 dts=189440 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=190464 dts=190464 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=191488 dts=191488 duration=704 nb=1024 side=none sr=48000 ch=2
