stream tb=1/48000 rate=48000 channels=2 initial=0 trailing=0 preroll=0 delay=0
frame pts=174944 dts=174944 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=175968 dts=175968 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=176992 dts=176992 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=178016 dts=178016 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=179040 dts=179040 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=180064 dts=180064 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=181088 dts=181088 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=182112 dts=182112 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=183136 dts=183136 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=184160 dts=184160 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=185184 dts=185184 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=186208 dts=186208 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=187232 dts=187232 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=188256 dts=188256 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=189280 dts=189280 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=190304 dts=190304 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=191328 dts=191328 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=192352 dts=192352 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=193376 dts=193376 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=194400 dts=194400 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=195424 dts=195424 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=196448 dts=196448 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=197472 dts=197472 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=198496 dts=198496 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=199520 dts=199520 duration=1024 nb=1024 side=none sr=48000 ch=2
frame pts=200544 dts=200544 duration=1024 nb=1024 side=none sr=48000 ch=2
